method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,connector/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,connector/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,connector/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,connector/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,connector/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,connector/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,connector/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,connector/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,connector/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,connector/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,connector/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,connector/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,connector/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,connector/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,connector/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,connector/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,connector/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,connector/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,connector/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,connector/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,connector/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,connector/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,connector/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,connector/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,connector/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,connector/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,connector/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,connector/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,connector/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,connector/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,connector/test/parts_mismatch/000.png,2112,1981,1994,24,37,1957,94,0,0,0.9379734848484849,0.9441287878787878,0.011363636363636364,0.017518939393939392
A1,image,31,connector/test/parts_mismatch/001.png,1728,1617,1588,46,17,1571,94,0,0,0.9357638888888888,0.9189814814814815,0.02662037037037037,0.009837962962962963
A1,image,32,connector/test/parts_mismatch/002.png,1984,1790,1786,40,36,1750,158,0,0,0.9022177419354839,0.9002016129032258,0.020161290322580645,0.018145161290322582
A1,image,33,connector/test/parts_mismatch/003.png,1984,1892,1895,20,23,1872,69,0,0,0.9536290322580645,0.9551411290322581,0.010080645161290322,0.011592741935483871
A1,image,34,connector/test/parts_mismatch/004.png,1792,1646,1632,30,16,1616,130,0,0,0.9185267857142857,0.9107142857142857,0.016741071428571428,0.008928571428571428
A1,image,35,connector/test/parts_mismatch/005.png,1600,1484,1408,93,17,1391,99,0,0,0.9275,0.88,0.058125,0.010625
A1,image,36,connector/test/parts_mismatch/006.png,1792,1605,1595,49,39,1556,148,0,0,0.8956473214285714,0.8900669642857143,0.02734375,0.021763392857142856
A1,image,37,connector/test/parts_mismatch/007.png,1536,1474,1476,14,16,1460,46,0,0,0.9596354166666666,0.9609375,0.009114583333333334,0.010416666666666666
