method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,bracket_black/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,bracket_black/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,bracket_black/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,bracket_black/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,bracket_black/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,bracket_black/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,bracket_black/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,bracket_black/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,bracket_black/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,bracket_black/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,bracket_black/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,bracket_black/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,bracket_black/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,bracket_black/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,bracket_black/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,bracket_black/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,bracket_black/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,bracket_black/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,bracket_black/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,bracket_black/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,bracket_black/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,bracket_black/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,bracket_black/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,bracket_black/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,bracket_black/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,bracket_black/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,bracket_black/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,bracket_black/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,bracket_black/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,bracket_black/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,bracket_black/test/good/030.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,31,bracket_black/test/good/031.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,32,bracket_black/test/hole/000.png,448,426,421,8,3,418,19,0,0,0.9508928571428571,0.9397321428571429,0.017857142857142856,0.006696428571428571
A1,image,33,bracket_black/test/hole/001.png,384,371,368,4,1,367,12,0,0,0.9661458333333334,0.9583333333333334,0.010416666666666666,0.0026041666666666665
