method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,connector/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,connector/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,connector/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,connector/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,connector/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,connector/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,connector/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,connector/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,connector/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,connector/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,connector/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,connector/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,connector/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,connector/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,connector/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,connector/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,connector/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,connector/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,connector/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,connector/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,connector/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,connector/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,connector/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,connector/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,connector/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,connector/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,connector/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,connector/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,connector/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,connector/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,connector/test/parts_mismatch/000.png,2112,1969,1981,19,31,1950,112,0,0,0.9322916666666666,0.9379734848484849,0.008996212121212122,0.014678030303030304
A1,image,31,connector/test/parts_mismatch/001.png,1728,1634,1627,32,25,1602,69,0,0,0.9456018518518519,0.9415509259259259,0.018518518518518517,0.014467592592592593
A1,image,32,connector/test/parts_mismatch/002.png,1984,1811,1797,42,28,1769,145,0,0,0.9128024193548387,0.9057459677419355,0.021169354838709676,0.014112903225806451
A1,image,33,connector/test/parts_mismatch/003.png,1984,1914,1880,47,13,1867,57,0,0,0.9647177419354839,0.9475806451612904,0.023689516129032258,0.00655241935483871
A1,image,34,connector/test/parts_mismatch/004.png,1792,1671,1631,56,16,1615,105,0,0,0.9324776785714286,0.91015625,0.03125,0.008928571428571428
A1,image,35,connector/test/parts_mismatch/005.png,1600,1499,1459,52,12,1447,89,0,0,0.936875,0.911875,0.0325,0.0075
A1,image,36,connector/test/parts_mismatch/006.png,1792,1650,1629,43,22,1607,120,0,0,0.9207589285714286,0.9090401785714286,0.023995535714285716,0.012276785714285714
A1,image,37,connector/test/parts_mismatch/007.png,1536,1418,1366,64,12,1354,106,0,0,0.9231770833333334,0.8893229166666666,0.041666666666666664,0.0078125
