method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,pipe_fryum/Data/Images/Normal/023.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,pipe_fryum/Data/Images/Normal/352.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,pipe_fryum/Data/Images/Normal/104.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,pipe_fryum/Data/Images/Normal/337.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,pipe_fryum/Data/Images/Normal/213.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,pipe_fryum/Data/Images/Normal/276.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,pipe_fryum/Data/Images/Normal/402.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,pipe_fryum/Data/Images/Normal/166.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,pipe_fryum/Data/Images/Normal/013.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,pipe_fryum/Data/Images/Normal/050.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,pipe_fryum/Data/Images/Normal/400.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,pipe_fryum/Data/Images/Normal/461.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,pipe_fryum/Data/Images/Normal/377.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,pipe_fryum/Data/Images/Normal/006.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,pipe_fryum/Data/Images/Normal/148.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,pipe_fryum/Data/Images/Normal/384.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,pipe_fryum/Data/Images/Normal/228.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,pipe_fryum/Data/Images/Normal/260.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,pipe_fryum/Data/Images/Normal/435.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,pipe_fryum/Data/Images/Normal/405.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,pipe_fryum/Data/Images/Normal/087.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,pipe_fryum/Data/Images/Normal/324.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,pipe_fryum/Data/Images/Normal/130.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,pipe_fryum/Data/Images/Normal/392.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,pipe_fryum/Data/Images/Normal/467.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,pipe_fryum/Data/Images/Normal/143.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,pipe_fryum/Data/Images/Normal/389.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,pipe_fryum/Data/Images/Normal/181.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,pipe_fryum/Data/Images/Normal/309.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,pipe_fryum/Data/Images/Normal/012.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,pipe_fryum/Data/Images/Normal/367.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,31,pipe_fryum/Data/Images/Normal/344.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,32,pipe_fryum/Data/Images/Normal/484.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,33,pipe_fryum/Data/Images/Normal/089.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,34,pipe_fryum/Data/Images/Normal/398.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,35,pipe_fryum/Data/Images/Normal/460.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,36,pipe_fryum/Data/Images/Normal/239.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,pipe_fryum/Data/Images/Normal/342.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,38,pipe_fryum/Data/Images/Normal/369.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,39,pipe_fryum/Data/Images/Normal/284.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,40,pipe_fryum/Data/Images/Normal/098.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,41,pipe_fryum/Data/Images/Normal/446.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,42,pipe_fryum/Data/Images/Normal/482.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,43,pipe_fryum/Data/Images/Normal/093.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,44,pipe_fryum/Data/Images/Normal/244.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,45,pipe_fryum/Data/Images/Normal/272.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,46,pipe_fryum/Data/Images/Normal/307.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,47,pipe_fryum/Data/Images/Normal/487.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,48,pipe_fryum/Data/Images/Normal/245.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,49,pipe_fryum/Data/Images/Normal/084.JPG,0,0,0,0,0,0,0,0,0,,,,
A1,image,50,pipe_fryum/Data/Images/Anomaly/000.JPG,384,383,382,1,0,382,1,0,0,0.9973958333333334,0.9947916666666666,0.0026041666666666665,0.0
A1,image,51,pipe_fryum/Data/Images/Anomaly/001.JPG,256,255,255,0,0,255,1,0,0,0.99609375,0.99609375,0.0,0.0
A1,image,52,pipe_fryum/Data/Images/Anomaly/002.JPG,448,446,445,1,0,445,2,0,0,0.9955357142857143,0.9933035714285714,0.002232142857142857,0.0
A1,image,53,pipe_fryum/Data/Images/Anomaly/003.JPG,512,512,512,0,0,512,0,0,0,1.0,1.0,0.0,0.0
A1,image,54,pipe_fryum/Data/Images/Anomaly/004.JPG,960,944,939,6,1,938,15,0,0,0.9833333333333333,0.978125,0.00625,0.0010416666666666667
A1,image,55,pipe_fryum/Data/Images/Anomaly/005.JPG,576,576,575,1,0,575,0,0,0,1.0,0.9982638888888888,0.001736111111111111,0.0
A1,image,56,pipe_fryum/Data/Images/Anomaly/006.JPG,832,824,827,0,3,824,5,0,0,0.9903846153846154,0.9939903846153846,0.0,0.003605769230769231
A1,image,57,pipe_fryum/Data/Images/Anomaly/007.JPG,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
A1,image,58,pipe_fryum/Data/Images/Anomaly/008.JPG,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,59,pipe_fryum/Data/Images/Anomaly/009.JPG,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,60,pipe_fryum/Data/Images/Anomaly/010.JPG,384,384,383,1,0,383,0,0,0,1.0,0.9973958333333334,0.0026041666666666665,0.0
A1,image,61,pipe_fryum/Data/Images/Anomaly/011.JPG,1152,1151,1151,0,0,1151,1,0,0,0.9991319444444444,0.9991319444444444,0.0,0.0
A1,image,62,pipe_fryum/Data/Images/Anomaly/012.JPG,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,63,pipe_fryum/Data/Images/Anomaly/013.JPG,576,570,568,3,1,567,5,0,0,0.9895833333333334,0.9861111111111112,0.005208333333333333,0.001736111111111111
A1,image,64,pipe_fryum/Data/Images/Anomaly/014.JPG,512,511,510,1,0,510,1,0,0,0.998046875,0.99609375,0.001953125,0.0
A1,image,65,pipe_fryum/Data/Images/Anomaly/015.JPG,512,499,501,0,2,499,11,0,0,0.974609375,0.978515625,0.0,0.00390625
A1,image,66,pipe_fryum/Data/Images/Anomaly/016.JPG,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,67,pipe_fryum/Data/Images/Anomaly/017.JPG,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,68,pipe_fryum/Data/Images/Anomaly/018.JPG,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,69,pipe_fryum/Data/Images/Anomaly/019.JPG,768,766,766,0,0,766,2,0,0,0.9973958333333334,0.9973958333333334,0.0,0.0
A1,image,70,pipe_fryum/Data/Images/Anomaly/020.JPG,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
A1,image,71,pipe_fryum/Data/Images/Anomaly/021.JPG,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
A1,image,72,pipe_fryum/Data/Images/Anomaly/022.JPG,320,320,317,3,0,317,0,0,0,1.0,0.990625,0.009375,0.0
A1,image,73,pipe_fryum/Data/Images/Anomaly/023.JPG,832,788,802,6,20,782,24,0,0,0.9471153846153846,0.9639423076923077,0.007211538461538462,0.02403846153846154
A1,image,74,pipe_fryum/Data/Images/Anomaly/024.JPG,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,75,pipe_fryum/Data/Images/Anomaly/025.JPG,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,76,pipe_fryum/Data/Images/Anomaly/026.JPG,1152,1132,1124,8,0,1124,20,0,0,0.9826388888888888,0.9756944444444444,0.006944444444444444,0.0
A1,image,77,pipe_fryum/Data/Images/Anomaly/027.JPG,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,78,pipe_fryum/Data/Images/Anomaly/028.JPG,832,825,830,0,5,825,2,0,0,0.9915865384615384,0.9975961538461539,0.0,0.006009615384615385
A1,image,79,pipe_fryum/Data/Images/Anomaly/029.JPG,704,683,682,3,2,680,19,0,0,0.9701704545454546,0.96875,0.004261363636363636,0.002840909090909091
