method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,bracket_white/test/defective_painting/000.png,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
A1,image,1,bracket_white/test/defective_painting/001.png,192,191,191,0,0,191,1,0,0,0.9947916666666666,0.9947916666666666,0.0,0.0
A1,image,2,bracket_white/test/defective_painting/002.png,192,191,191,0,0,191,1,0,0,0.9947916666666666,0.9947916666666666,0.0,0.0
A1,image,3,bracket_white/test/defective_painting/003.png,128,128,127,1,0,127,0,0,0,1.0,0.9921875,0.0078125,0.0
A1,image,4,bracket_white/test/defective_painting/004.png,128,125,125,1,1,124,2,0,0,0.9765625,0.9765625,0.0078125,0.0078125
A1,image,5,bracket_white/test/defective_painting/005.png,128,128,128,0,0,128,0,0,0,1.0,1.0,0.0,0.0
A1,image,6,bracket_white/test/defective_painting/006.png,192,189,190,0,1,189,2,0,0,0.984375,0.9895833333333334,0.0,0.005208333333333333
A1,image,7,bracket_white/test/defective_painting/007.png,320,319,319,0,0,319,1,0,0,0.996875,0.996875,0.0,0.0
A1,image,8,bracket_white/test/defective_painting/008.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,9,bracket_white/test/defective_painting/009.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,10,bracket_white/test/defective_painting/010.png,128,127,127,1,1,126,0,0,0,0.9921875,0.9921875,0.0078125,0.0078125
A1,image,11,bracket_white/test/defective_painting/011.png,192,192,191,1,0,191,0,0,0,1.0,0.9947916666666666,0.005208333333333333,0.0
A1,image,12,bracket_white/test/defective_painting/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,13,bracket_white/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,bracket_white/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,bracket_white/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,bracket_white/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,bracket_white/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,bracket_white/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,bracket_white/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,bracket_white/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,bracket_white/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,bracket_white/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,bracket_white/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,bracket_white/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,bracket_white/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,bracket_white/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,bracket_white/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,bracket_white/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,bracket_white/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,bracket_white/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,31,bracket_white/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,32,bracket_white/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,33,bracket_white/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,34,bracket_white/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,35,bracket_white/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,36,bracket_white/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,bracket_white/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,38,bracket_white/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,39,bracket_white/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,40,bracket_white/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,41,bracket_white/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,42,bracket_white/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,43,bracket_white/test/scratches/000.png,448,437,432,8,3,429,8,0,0,0.9754464285714286,0.9642857142857143,0.017857142857142856,0.006696428571428571
A1,image,44,bracket_white/test/scratches/001.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,45,bracket_white/test/scratches/002.png,640,615,630,4,19,611,6,0,0,0.9609375,0.984375,0.00625,0.0296875
A1,image,46,bracket_white/test/scratches/003.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,47,bracket_white/test/scratches/004.png,384,379,381,0,2,379,3,0,0,0.9869791666666666,0.9921875,0.0,0.005208333333333333
A1,image,48,bracket_white/test/scratches/005.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,49,bracket_white/test/scratches/006.png,384,380,375,5,0,375,4,0,0,0.9895833333333334,0.9765625,0.013020833333333334,0.0
A1,image,50,bracket_white/test/scratches/007.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,51,bracket_white/test/scratches/008.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,52,bracket_white/test/scratches/009.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,53,bracket_white/test/scratches/010.png,448,447,448,0,1,447,0,0,0,0.9977678571428571,1.0,0.0,0.002232142857142857
A1,image,54,bracket_white/test/scratches/011.png,640,640,640,0,0,640,0,0,0,1.0,1.0,0.0,0.0
A1,image,55,bracket_white/test/scratches/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,56,bracket_white/test/scratches/013.png,384,379,379,0,0,379,5,0,0,0.9869791666666666,0.9869791666666666,0.0,0.0
A1,image,57,bracket_white/test/scratches/014.png,704,704,704,0,0,704,0,0,0,1.0,1.0,0.0,0.0
A1,image,58,bracket_white/test/scratches/015.png,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
A1,image,59,bracket_white/test/scratches/016.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,aggregate,-1,__ALL__,9984,9923,9930,21,28,9902,33,0,0,0.9938902243589743,0.9945913461538461,0.0021033653846153845,0.0028044871794871795
TRI,image,0,bracket_white/test/defective_painting/000.png,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
TRI,image,1,bracket_white/test/defective_painting/001.png,192,191,191,0,0,191,1,0,0,0.9947916666666666,0.9947916666666666,0.0,0.0
TRI,image,2,bracket_white/test/defective_painting/002.png,192,190,190,0,0,190,2,0,0,0.9895833333333334,0.9895833333333334,0.0,0.0
TRI,image,3,bracket_white/test/defective_painting/003.png,128,127,126,1,0,126,1,0,0,0.9921875,0.984375,0.0078125,0.0
TRI,image,4,bracket_white/test/defective_painting/004.png,128,126,125,1,0,125,2,0,0,0.984375,0.9765625,0.0078125,0.0
TRI,image,5,bracket_white/test/defective_painting/005.png,128,128,128,0,0,128,0,0,0,1.0,1.0,0.0,0.0
TRI,image,6,bracket_white/test/defective_painting/006.png,192,192,190,2,0,190,0,0,0,1.0,0.9895833333333334,0.010416666666666666,0.0
TRI,image,7,bracket_white/test/defective_painting/007.png,320,319,317,2,0,317,1,0,0,0.996875,0.990625,0.00625,0.0
TRI,image,8,bracket_white/test/defective_painting/008.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
TRI,image,9,bracket_white/test/defective_painting/009.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
TRI,image,10,bracket_white/test/defective_painting/010.png,128,126,126,1,1,125,1,0,0,0.984375,0.984375,0.0078125,0.0078125
TRI,image,11,bracket_white/test/defective_painting/011.png,192,191,191,0,0,191,1,0,0,0.9947916666666666,0.9947916666666666,0.0,0.0
TRI,image,12,bracket_white/test/defective_painting/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
TRI,image,13,bracket_white/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
TRI,image,14,bracket_white/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
