key,n_values,n_nan
btad_s0_k4__B__image_ap,1000,0
btad_s0_k4__B__image_auroc,1000,0
btad_s0_k4__B__pixel_ap,1000,0
btad_s0_k4__B__pixel_auroc,1000,0
btad_s0_k4__C__image_ap,1000,0
btad_s0_k4__C__image_auroc,1000,0
btad_s0_k4__C__pixel_ap,1000,0
btad_s0_k4__C__pixel_auroc,1000,0
btad_s0_k4__DUP_BAL_J__image_ap,1000,0
btad_s0_k4__DUP_BAL_J__image_auroc,1000,0
btad_s0_k4__DUP_BAL_J__pixel_ap,1000,0
btad_s0_k4__DUP_BAL_J__pixel_auroc,1000,0
btad_s0_k4__DUP_EXPECTED_J__image_ap,1000,0
btad_s0_k4__DUP_EXPECTED_J__image_auroc,1000,0
btad_s0_k4__DUP_EXPECTED_J__pixel_ap,1000,0
btad_s0_k4__DUP_EXPECTED_J__pixel_auroc,1000,0
btad_s0_k4__DUP_J__image_ap,1000,0
btad_s0_k4__DUP_J__image_auroc,1000,0
btad_s0_k4__DUP_J__pixel_ap,1000,0
btad_s0_k4__DUP_J__pixel_auroc,1000,0
btad_s0_k4__DUP_L__image_ap,1000,0
btad_s0_k4__DUP_L__image_auroc,1000,0
btad_s0_k4__DUP_L__pixel_ap,1000,0
btad_s0_k4__DUP_L__pixel_auroc,1000,0
btad_s0_k4__S__image_ap,1000,0
btad_s0_k4__S__image_auroc,1000,0
btad_s0_k4__S__pixel_ap,1000,0
btad_s0_k4__S__pixel_auroc,1000,0
btad_s0_k4__TRI_J__image_ap,1000,0
btad_s0_k4__TRI_J__image_auroc,1000,0
btad_s0_k4__TRI_J__pixel_ap,1000,0
btad_s0_k4__TRI_J__pixel_auroc,1000,0
btad_s0_k4__TRI_L__image_ap,1000,0
btad_s0_k4__TRI_L__image_auroc,1000,0
btad_s0_k4__TRI_L__pixel_ap,1000,0
btad_s0_k4__TRI_L__pixel_auroc,1000,0
btad_s0_k8__A1_J__image_ap,1000,0
btad_s0_k8__A1_J__image_auroc,1000,0
btad_s0_k8__A1_J__pixel_ap,1000,0
btad_s0_k8__A1_J__pixel_auroc,1000,0
btad_s0_k8__A1_L__image_ap,1000,0
btad_s0_k8__A1_L__image_auroc,1000,0
btad_s0_k8__A1_L__pixel_ap,1000,0
btad_s0_k8__A1_L__pixel_auroc,1000,0
btad_s0_k8__BAL_J__image_ap,1000,0
btad_s0_k8__BAL_J__image_auroc,1000,0
btad_s0_k8__BAL_J__pixel_ap,1000,0
btad_s0_k8__BAL_J__pixel_auroc,1000,0
btad_s0_k8__BAL_L__image_ap,1000,0
btad_s0_k8__BAL_L__image_auroc,1000,0
btad_s0_k8__BAL_L__pixel_ap,1000,0
btad_s0_k8__BAL_L__pixel_auroc,1000,0
btad_s0_k8__B__image_ap,1000,0
btad_s0_k8__B__image_auroc,1000,0
btad_s0_k8__B__pixel_ap,1000,0
btad_s0_k8__B__pixel_auroc,1000,0
btad_s0_k8__C__image_ap,1000,0
btad_s0_k8__C__image_auroc,1000,0
btad_s0_k8__C__pixel_ap,1000,0
btad_s0_k8__C__pixel_auroc,1000,0
btad_s0_k8__DUP_BAL_J__image_ap,1000,0
btad_s0_k8__DUP_BAL_J__image_auroc,1000,0
btad_s0_k8__DUP_BAL_J__pixel_ap,1000,0
btad_s0_k8__DUP_BAL_J__pixel_auroc,1000,0
btad_s0_k8__DUP_EXPECTED_J__image_ap,1000,0
btad_s0_k8__DUP_EXPECTED_J__image_auroc,1000,0
btad_s0_k8__DUP_EXPECTED_J__pixel_ap,1000,0
btad_s0_k8__DUP_EXPECTED_J__pixel_auroc,1000,0
btad_s0_k8__DUP_J__image_ap,1000,0
btad_s0_k8__DUP_J__image_auroc,1000,0
btad_s0_k8__DUP_J__pixel_ap,1000,0
btad_s0_k8__DUP_J__pixel_auroc,1000,0
btad_s0_k8__DUP_L__image_ap,1000,0
btad_s0_k8__DUP_L__image_auroc,1000,0
btad_s0_k8__DUP_L__pixel_ap,1000,0
btad_s0_k8__DUP_L__pixel_auroc,1000,0
btad_s0_k8__S__image_ap,1000,0
btad_s0_k8__S__image_auroc,1000,0
btad_s0_k8__S__pixel_ap,1000,0
btad_s0_k8__S__pixel_auroc,1000,0
btad_s0_k8__TRI_J__image_ap,1000,0
btad_s0_k8__TRI_J__image_auroc,1000,0
btad_s0_k8__TRI_J__pixel_ap,1000,0
btad_s0_k8__TRI_J__pixel_auroc,1000,0
btad_s0_k8__TRI_L__image_ap,1000,0
btad_s0_k8__TRI_L__image_auroc,1000,0
btad_s0_k8__TRI_L__pixel_ap,1000,0
btad_s0_k8__TRI_L__pixel_auroc,1000,0
btad_s1_k1__A1_J__image_ap,1000,0
btad_s1_k1__A1_J__image_auroc,1000,0
btad_s1_k1__A1_J__pixel_ap,1000,0
btad_s1_k1__A1_J__pixel_auroc,1000,0
btad_s1_k1__A1_L__image_ap,1000,0
btad_s1_k1__A1_L__image_auroc,1000,0
btad_s1_k1__A1_L__pixel_ap,1000,0
btad_s1_k1__A1_L__pixel_auroc,1000,0
btad_s1_k1__BAL_J__image_ap,1000,0
btad_s1_k1__BAL_J__image_auroc,1000,0
btad_s1_k1__BAL_J__pixel_ap,1000,0
btad_s1_k1__BAL_J__pixel_auroc,1000,0
btad_s1_k1__BAL_L__image_ap,1000,0
btad_s1_k1__BAL_L__image_auroc,1000,0
btad_s1_k1__BAL_L__pixel_ap,1000,0
btad_s1_k1__BAL_L__pixel_auroc,1000,0
btad_s1_k1__B__image_ap,1000,0
btad_s1_k1__B__image_auroc,1000,0
btad_s1_k1__B__pixel_ap,1000,0
btad_s1_k1__B__pixel_auroc,1000,0
btad_s1_k1__C__image_ap,1000,0
btad_s1_k1__C__image_auroc,1000,0
btad_s1_k1__C__pixel_ap,1000,0
btad_s1_k1__C__pixel_auroc,1000,0
btad_s1_k1__DUP_BAL_J__image_ap,1000,0
btad_s1_k1__DUP_BAL_J__image_auroc,1000,0
btad_s1_k1__DUP_BAL_J__pixel_ap,1000,0
btad_s1_k1__DUP_BAL_J__pixel_auroc,1000,0
btad_s1_k1__DUP_EXPECTED_J__image_ap,1000,0
btad_s1_k1__DUP_EXPECTED_J__image_auroc,1000,0
btad_s1_k1__DUP_EXPECTED_J__pixel_ap,1000,0
btad_s1_k1__DUP_EXPECTED_J__pixel_auroc,1000,0
btad_s1_k1__DUP_J__image_ap,1000,0
btad_s1_k1__DUP_J__image_auroc,1000,0
btad_s1_k1__DUP_J__pixel_ap,1000,0
btad_s1_k1__DUP_J__pixel_auroc,1000,0
btad_s1_k1__DUP_L__image_ap,1000,0
btad_s1_k1__DUP_L__image_auroc,1000,0
btad_s1_k1__DUP_L__pixel_ap,1000,0
btad_s1_k1__DUP_L__pixel_auroc,1000,0
btad_s1_k1__S__image_ap,1000,0
btad_s1_k1__S__image_auroc,1000,0
btad_s1_k1__S__pixel_ap,1000,0
btad_s1_k1__S__pixel_auroc,1000,0
btad_s1_k1__TRI_J__image_ap,1000,0
btad_s1_k1__TRI_J__image_auroc,1000,0
btad_s1_k1__TRI_J__pixel_ap,1000,0
btad_s1_k1__TRI_J__pixel_auroc,1000,0
btad_s1_k1__TRI_L__image_ap,1000,0
btad_s1_k1__TRI_L__image_auroc,1000,0
btad_s1_k1__TRI_L__pixel_ap,1000,0
btad_s1_k1__TRI_L__pixel_auroc,1000,0
btad_s1_k2__A1_J__image_ap,1000,0
btad_s1_k2__A1_J__image_auroc,1000,0
btad_s1_k2__A1_J__pixel_ap,1000,0
btad_s1_k2__A1_J__pixel_auroc,1000,0
btad_s1_k2__A1_L__image_ap,1000,0
btad_s1_k2__A1_L__image_auroc,1000,0
btad_s1_k2__A1_L__pixel_ap,1000,0
btad_s1_k2__A1_L__pixel_auroc,1000,0
btad_s1_k2__BAL_J__image_ap,1000,0
btad_s1_k2__BAL_J__image_auroc,1000,0
btad_s1_k2__BAL_J__pixel_ap,1000,0
btad_s1_k2__BAL_J__pixel_auroc,1000,0
btad_s1_k2__BAL_L__image_ap,1000,0
btad_s1_k2__BAL_L__image_auroc,1000,0
btad_s1_k2__BAL_L__pixel_ap,1000,0
btad_s1_k2__BAL_L__pixel_auroc,1000,0
btad_s1_k2__B__image_ap,1000,0
btad_s1_k2__B__image_auroc,1000,0
btad_s1_k2__B__pixel_ap,1000,0
btad_s1_k2__B__pixel_auroc,1000,0
btad_s1_k2__C__image_ap,1000,0
btad_s1_k2__C__image_auroc,1000,0
btad_s1_k2__C__pixel_ap,1000,0
btad_s1_k2__C__pixel_auroc,1000,0
btad_s1_k2__DUP_BAL_J__image_ap,1000,0
btad_s1_k2__DUP_BAL_J__image_auroc,1000,0
btad_s1_k2__DUP_BAL_J__pixel_ap,1000,0
btad_s1_k2__DUP_BAL_J__pixel_auroc,1000,0
btad_s1_k2__DUP_EXPECTED_J__image_ap,1000,0
btad_s1_k2__DUP_EXPECTED_J__image_auroc,1000,0
btad_s1_k2__DUP_EXPECTED_J__pixel_ap,1000,0
btad_s1_k2__DUP_EXPECTED_J__pixel_auroc,1000,0
btad_s1_k2__DUP_J__image_ap,1000,0
btad_s1_k2__DUP_J__image_auroc,1000,0
btad_s1_k2__DUP_J__pixel_ap,1000,0
btad_s1_k2__DUP_J__pixel_auroc,1000,0
btad_s1_k2__DUP_L__image_ap,1000,0
btad_s1_k2__DUP_L__image_auroc,1000,0
btad_s1_k2__DUP_L__pixel_ap,1000,0
btad_s1_k2__DUP_L__pixel_auroc,1000,0
btad_s1_k2__S__image_ap,1000,0
btad_s1_k2__S__image_auroc,1000,0
btad_s1_k2__S__pixel_ap,1000,0
btad_s1_k2__S__pixel_auroc,1000,0
btad_s1_k2__TRI_J__image_ap,1000,0
btad_s1_k2__TRI_J__image_auroc,1000,0
btad_s1_k2__TRI_J__pixel_ap,1000,0
btad_s1_k2__TRI_J__pixel_auroc,1000,0
btad_s1_k2__TRI_L__image_ap,1000,0
btad_s1_k2__TRI_L__image_auroc,1000,0
btad_s1_k2__TRI_L__pixel_ap,1000,0
btad_s1_k2__TRI_L__pixel_auroc,1000,0
btad_s1_k4__A1_J__image_ap,1000,0
btad_s1_k4__A1_J__image_auroc,1000,0
btad_s1_k4__A1_J__pixel_ap,1000,0
btad_s1_k4__A1_J__pixel_auroc,1000,0
btad_s1_k4__A1_L__image_ap,1000,0
btad_s1_k4__A1_L__image_auroc,1000,0
btad_s1_k4__A1_L__pixel_ap,1000,0
btad_s1_k4__A1_L__pixel_auroc,1000,0
btad_s1_k4__BAL_J__image_ap,1000,0
btad_s1_k4__BAL_J__image_auroc,1000,0
btad_s1_k4__BAL_J__pixel_ap,1000,0
btad_s1_k4__BAL_J__pixel_auroc,1000,0
btad_s1_k4__BAL_L__image_ap,1000,0
btad_s1_k4__BAL_L__image_auroc,1000,0
btad_s1_k4__BAL_L__pixel_ap,1000,0
btad_s1_k4__BAL_L__pixel_auroc,1000,0
btad_s1_k4__B__image_ap,1000,0
btad_s1_k4__B__image_auroc,1000,0
btad_s1_k4__B__pixel_ap,1000,0
btad_s1_k4__B__pixel_auroc,1000,0
btad_s1_k4__C__image_ap,1000,0
btad_s1_k4__C__image_auroc,1000,0
btad_s1_k4__C__pixel_ap,1000,0
btad_s1_k4__C__pixel_auroc,1000,0
btad_s1_k4__DUP_BAL_J__image_ap,1000,0
btad_s1_k4__DUP_BAL_J__image_auroc,1000,0
btad_s1_k4__DUP_BAL_J__pixel_ap,1000,0
btad_s1_k4__DUP_BAL_J__pixel_auroc,1000,0
btad_s1_k4__DUP_EXPECTED_J__image_ap,1000,0
btad_s1_k4__DUP_EXPECTED_J__image_auroc,1000,0
btad_s1_k4__DUP_EXPECTED_J__pixel_ap,1000,0
btad_s1_k4__DUP_EXPECTED_J__pixel_auroc,1000,0
btad_s1_k4__DUP_J__image_ap,1000,0
btad_s1_k4__DUP_J__image_auroc,1000,0
btad_s1_k4__DUP_J__pixel_ap,1000,0
btad_s1_k4__DUP_J__pixel_auroc,1000,0
btad_s1_k4__DUP_L__image_ap,1000,0
btad_s1_k4__DUP_L__image_auroc,1000,0
btad_s1_k4__DUP_L__pixel_ap,1000,0
btad_s1_k4__DUP_L__pixel_auroc,1000,0
btad_s1_k4__S__image_ap,1000,0
btad_s1_k4__S__image_auroc,1000,0
btad_s1_k4__S__pixel_ap,1000,0
btad_s1_k4__S__pixel_auroc,1000,0
btad_s1_k4__TRI_J__image_ap,1000,0
btad_s1_k4__TRI_J__image_auroc,1000,0
btad_s1_k4__TRI_J__pixel_ap,1000,0
btad_s1_k4__TRI_J__pixel_auroc,1000,0
btad_s1_k4__TRI_L__image_ap,1000,0
btad_s1_k4__TRI_L__image_auroc,1000,0
btad_s1_k4__TRI_L__pixel_ap,1000,0
btad_s1_k4__TRI_L__pixel_auroc,1000,0
btad_s1_k8__A1_J__image_ap,1000,0
btad_s1_k8__A1_J__image_auroc,1000,0
btad_s1_k8__A1_J__pixel_ap,1000,0
btad_s1_k8__A1_J__pixel_auroc,1000,0
btad_s1_k8__A1_L__image_ap,1000,0
btad_s1_k8__A1_L__image_auroc,1000,0
btad_s1_k8__A1_L__pixel_ap,1000,0
btad_s1_k8__A1_L__pixel_auroc,1000,0
btad_s1_k8__BAL_J__image_ap,1000,0
btad_s1_k8__BAL_J__image_auroc,1000,0
btad_s1_k8__BAL_J__pixel_ap,1000,0
btad_s1_k8__BAL_J__pixel_auroc,1000,0
btad_s1_k8__BAL_L__image_ap,1000,0
btad_s1_k8__BAL_L__image_auroc,1000,0
