method,dataset,seed,shot,category,revision,region_grid,region_fraction_of_canvas,pixel_ap,pixel_auroc,n_pixels,seconds,source
PatchCore_native_local128,btad,0,1,02,corrected,392x392,0.765625,0.44873728976464844,0.9356543348494873,35342720,3.9,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_02.npz
PatchCore_native_official224,btad,0,1,02,corrected,392x392,0.765625,0.5330272807781027,0.9499253297122056,35342720,4.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_02.npz
controlled_A1_J,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6387138337628119,0.9881603851800443,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s0_k1\03__rev_correct\patch_scores.npz
controlled_A1_L,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6529217398304452,0.9898645516666988,67765824,7.4,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s0_k1\03__rev_correct\patch_scores.npz
anomalydino_canvas,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6413039606051928,0.9910965185366457,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k1_03.npz
anomalydino_canvas_rotation,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6817472575503138,0.9936506341781589,67765824,7.3,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k1_03.npz
PatchCore_native_local128,btad,0,1,03,corrected,392x392,0.5835777126099707,0.06033230975945057,0.9092234608137325,67765824,7.3,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_03.npz
PatchCore_native_official224,btad,0,1,03,corrected,392x392,0.5835777126099707,0.08086273509700226,0.9584432663185029,67765824,7.8,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_03.npz
controlled_A1_J,btad,0,4,01,corrected,392x392,0.765625,0.6089356522983729,0.9670559989398819,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k4\01\patch_scores.npz
controlled_A1_L,btad,0,4,01,corrected,392x392,0.765625,0.6168528664868101,0.968417796860651,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k4\01\patch_scores.npz
anomalydino_canvas,btad,0,4,01,corrected,392x392,0.765625,0.34557766841609117,0.9153097305499629,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k4_01.npz
anomalydino_canvas_rotation,btad,0,4,01,corrected,392x392,0.765625,0.3618374140560226,0.9210959462468018,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k4_01.npz
PatchCore_native_local128,btad,0,4,01,corrected,392x392,0.765625,0.2611439326047002,0.891330989099749,10756480,1.1,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k4\predictions\mvtec_01.npz
PatchCore_native_official224,btad,0,4,01,corrected,392x392,0.765625,0.4564505033578117,0.9473781997269806,10756480,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k4\predictions\mvtec_01.npz
controlled_A1_J,btad,0,4,02,corrected,392x392,0.765625,0.6066440199670131,0.9616814241571159,35342720,4.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k4\02\patch_scores.npz
controlled_A1_L,btad,0,4,02,corrected,392x392,0.765625,0.6160335711638296,0.9622810026030167,35342720,4.0,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k4\02\patch_scores.npz
anomalydino_canvas,btad,0,4,02,corrected,392x392,0.765625,0.6224219897932297,0.9598873552740597,35342720,4.0,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k4_02.npz
anomalydino_canvas_rotation,btad,0,4,02,corrected,392x392,0.765625,0.6795077541312539,0.9645187184598377,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k4_02.npz
PatchCore_native_local128,btad,0,4,02,corrected,392x392,0.765625,0.47865727548491516,0.9415204744123497,35342720,4.0,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k4\predictions\mvtec_02.npz
PatchCore_native_official224,btad,0,4,02,corrected,392x392,0.765625,0.5476012908779075,0.9505839927170318,35342720,4.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k4\predictions\mvtec_02.npz
controlled_A1_J,btad,0,4,03,corrected,392x392,0.5835777126099707,0.734781998088482,0.9954822711831836,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s0_k4\03__rev_correct\patch_scores.npz
controlled_A1_L,btad,0,4,03,corrected,392x392,0.5835777126099707,0.7549060113839079,0.9962134652053818,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s0_k4\03__rev_correct\patch_scores.npz
anomalydino_canvas,btad,0,4,03,corrected,392x392,0.5835777126099707,0.6966175150975032,0.9954921982271326,67765824,7.4,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k4_03.npz
anomalydino_canvas_rotation,btad,0,4,03,corrected,392x392,0.5835777126099707,0.7073919929422986,0.9960677610546781,67765824,7.4,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k4_03.npz
PatchCore_native_local128,btad,0,4,03,corrected,392x392,0.5835777126099707,0.22958351642754113,0.9740474104435991,67765824,7.3,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k4\predictions\mvtec_03.npz
PatchCore_native_official224,btad,0,4,03,corrected,392x392,0.5835777126099707,0.21962996154946363,0.9782166146384745,67765824,7.8,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k4\predictions\mvtec_03.npz
controlled_A1_J,btad,1,1,01,corrected,392x392,0.765625,0.6207152997248377,0.9680777595659141,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k1\01\patch_scores.npz
controlled_A1_L,btad,1,1,01,corrected,392x392,0.765625,0.6229548547620732,0.9692247081833806,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k1\01\patch_scores.npz
anomalydino_canvas,btad,1,1,01,corrected,392x392,0.765625,0.3878071005905015,0.9365308181535615,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s1_k1_01.npz
anomalydino_canvas_rotation,btad,1,1,01,corrected,392x392,0.765625,0.41231768282715553,0.9436397223046508,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s1_k1_01.npz
PatchCore_native_local128,btad,1,1,01,corrected,392x392,0.765625,0.18766062954280557,0.8130806889934903,10756480,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k1\predictions\mvtec_01.npz
PatchCore_native_official224,btad,1,1,01,corrected,392x392,0.765625,0.4091662226465256,0.9209100312359657,10756480,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k1\predictions\mvtec_01.npz
controlled_A1_J,btad,1,1,02,corrected,392x392,0.765625,0.5858673128185038,0.960825863324438,35342720,4.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k1\02\patch_scores.npz
controlled_A1_L,btad,1,1,02,corrected,392x392,0.765625,0.5960727742652677,0.9614568355138284,35342720,4.0,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k1\02\patch_scores.npz
anomalydino_canvas,btad,1,1,02,corrected,392x392,0.765625,0.6387977887419475,0.9617065713778438,35342720,4.0,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s1_k1_02.npz
anomalydino_canvas_rotation,btad,1,1,02,corrected,392x392,0.765625,0.6470426409175948,0.962332914814753,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s1_k1_02.npz
PatchCore_native_local128,btad,1,1,02,corrected,392x392,0.765625,0.49517880327322195,0.9413483029229486,35342720,4.0,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k1\predictions\mvtec_02.npz
PatchCore_native_official224,btad,1,1,02,corrected,392x392,0.765625,0.5103193423761567,0.9473535935566862,35342720,4.4,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k1\predictions\mvtec_02.npz
controlled_A1_J,btad,1,1,03,corrected,392x392,0.5835777126099707,0.6972709014799614,0.9878370564317772,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s1_k1\03__rev_correct\patch_scores.npz
controlled_A1_L,btad,1,1,03,corrected,392x392,0.5835777126099707,0.708923365022599,0.9900981843138603,67765824,7.4,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s1_k1\03__rev_correct\patch_scores.npz
anomalydino_canvas,btad,1,1,03,corrected,392x392,0.5835777126099707,0.6341259950797989,0.9900377959005651,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s1_k1_03.npz
anomalydino_canvas_rotation,btad,1,1,03,corrected,392x392,0.5835777126099707,0.6604217661425491,0.991988276353058,67765824,7.3,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s1_k1_03.npz
PatchCore_native_local128,btad,1,1,03,corrected,392x392,0.5835777126099707,0.1149215473185744,0.9266151382134306,67765824,7.5,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k1\predictions\mvtec_03.npz
PatchCore_native_official224,btad,1,1,03,corrected,392x392,0.5835777126099707,0.08439172823227634,0.9501425673137233,67765824,7.8,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k1\predictions\mvtec_03.npz
controlled_A1_J,btad,1,4,01,corrected,392x392,0.765625,0.6293620320972059,0.9719382318481555,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k4\01\patch_scores.npz
controlled_A1_L,btad,1,4,01,corrected,392x392,0.765625,0.6312268134481989,0.9728435169037145,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k4\01\patch_scores.npz
anomalydino_canvas,btad,1,4,01,corrected,392x392,0.765625,0.4168532989883352,0.9437680948632644,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s1_k4_01.npz
anomalydino_canvas_rotation,btad,1,4,01,corrected,392x392,0.765625,0.4270606851283921,0.9463038494199273,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s1_k4_01.npz
PatchCore_native_local128,btad,1,4,01,corrected,392x392,0.765625,0.3490893592461316,0.9177269152439452,10756480,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k4\predictions\mvtec_01.npz
PatchCore_native_official224,btad,1,4,01,corrected,392x392,0.765625,0.5140167451075793,0.9571633686152224,10756480,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k4\predictions\mvtec_01.npz
controlled_A1_J,btad,1,4,02,corrected,392x392,0.765625,0.5797133128164148,0.960409712833825,35342720,4.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k4\02\patch_scores.npz
controlled_A1_L,btad,1,4,02,corrected,392x392,0.765625,0.5878111742857403,0.9608366552698255,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s1_k4\02\patch_scores.npz
anomalydino_canvas,btad,1,4,02,corrected,392x392,0.765625,0.6358704580900443,0.9605555269670263,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s1_k4_02.npz
anomalydino_canvas_rotation,btad,1,4,02,corrected,392x392,0.765625,0.6419668096858893,0.9613184129852055,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s1_k4_02.npz
PatchCore_native_local128,btad,1,4,02,corrected,392x392,0.765625,0.4710055520667953,0.9409472244320218,35342720,3.9,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k4\predictions\mvtec_02.npz
PatchCore_native_official224,btad,1,4,02,corrected,392x392,0.765625,0.5529677147714298,0.9506398751249259,35342720,4.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k4\predictions\mvtec_02.npz
controlled_A1_J,btad,1,4,03,corrected,392x392,0.5835777126099707,0.7401226744362585,0.9937356976736459,67765824,7.6,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s1_k4\03__rev_correct\patch_scores.npz
controlled_A1_L,btad,1,4,03,corrected,392x392,0.5835777126099707,0.7502042839559235,0.994765034962178,67765824,7.5,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s1_k4\03__rev_correct\patch_scores.npz
anomalydino_canvas,btad,1,4,03,corrected,392x392,0.5835777126099707,0.685340321694244,0.9941016392624922,67765824,7.4,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s1_k4_03.npz
anomalydino_canvas_rotation,btad,1,4,03,corrected,392x392,0.5835777126099707,0.7063020247964018,0.9952159358705845,67765824,7.4,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s1_k4_03.npz
PatchCore_native_local128,btad,1,4,03,corrected,392x392,0.5835777126099707,0.2436729534498459,0.9616625105034963,67765824,7.5,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k4\predictions\mvtec_03.npz
PatchCore_native_official224,btad,1,4,03,corrected,392x392,0.5835777126099707,0.2096212000455912,0.9723713230421398,67765824,7.8,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k4\predictions\mvtec_03.npz
controlled_A1_J,mpdd,0,1,bracket_black,study,392x392,0.765625,0.010274731966875145,0.9262981030034734,12139456,1.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz
controlled_A1_L,mpdd,0,1,bracket_black,study,392x392,0.765625,0.009271959091544393,0.9198735977741512,12139456,1.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz
anomalydino_canvas,mpdd,0,1,bracket_black,study,392x392,0.765625,0.023429638568317722,0.9134700275578133,12139456,1.3,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_black.npz
anomalydino_canvas_rotation,mpdd,0,1,bracket_black,study,392x392,0.765625,0.044146481733702385,0.9152160061079493,12139456,1.3,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_black.npz
PatchCore_native_local128,mpdd,0,1,bracket_black,study,392x392,0.765625,0.0023397370272130336,0.7680796635167739,12139456,1.3,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_black.npz
PatchCore_native_official224,mpdd,0,1,bracket_black,study,392x392,0.765625,0.0033476125303712545,0.8434474064940353,12139456,1.3,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_black.npz
controlled_A1_J,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.040238613930084564,0.9008171333755981,11832128,1.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz
controlled_A1_L,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.04478865200391644,0.9090960737940728,11832128,1.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz
anomalydino_canvas,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.05100107479533445,0.9206683146656112,11832128,1.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_brown.npz
anomalydino_canvas_rotation,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.05447569713366411,0.9223622032694321,11832128,1.2,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_brown.npz
PatchCore_native_local128,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.026025717957155373,0.8816308186265309,11832128,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz
PatchCore_native_official224,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.039337985594547244,0.9221965774060803,11832128,1.2,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz
controlled_A1_J,mpdd,0,1,bracket_white,study,392x392,0.765625,0.13557752365759645,0.9921503133982963,9219840,0.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white\patch_scores.npz
controlled_A1_L,mpdd,0,1,bracket_white,study,392x392,0.765625,0.14121573417037464,0.9920238233684405,9219840,0.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white\patch_scores.npz
anomalydino_canvas,mpdd,0,1,bracket_white,study,392x392,0.765625,0.1305681885777625,0.9891836046879614,9219840,0.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_white.npz
anomalydino_canvas_rotation,mpdd,0,1,bracket_white,study,392x392,0.765625,0.1378625492734361,0.9896996736411929,9219840,0.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_white.npz
PatchCore_native_local128,mpdd,0,1,bracket_white,study,392x392,0.765625,0.0038810371710454542,0.9452972367075914,9219840,0.9,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_white.npz
PatchCore_native_official224,mpdd,0,1,bracket_white,study,392x392,0.765625,0.004599955238501103,0.9483914621405106,9219840,0.9,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_white.npz
controlled_A1_J,mpdd,0,1,connector,study,392x392,0.765625,0.1147377707578516,0.9327295219283435,6761216,0.7,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector\patch_scores.npz
controlled_A1_L,mpdd,0,1,connector,study,392x392,0.765625,0.12013810560551519,0.9427716387130437,6761216,0.7,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector\patch_scores.npz
anomalydino_canvas,mpdd,0,1,connector,study,392x392,0.765625,0.09716067442608854,0.9294271058666482,6761216,0.6,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_connector.npz
anomalydino_canvas_rotation,mpdd,0,1,connector,study,392x392,0.765625,0.09834852649539302,0.9295397652323204,6761216,0.7,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_connector.npz
PatchCore_native_local128,mpdd,0,1,connector,study,392x392,0.765625,0.02851642470916777,0.8692965824373537,6761216,0.7,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_connector.npz
PatchCore_native_official224,mpdd,0,1,connector,study,392x392,0.765625,0.06876806662979944,0.9430664699039177,6761216,0.7,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_connector.npz
controlled_A1_J,mpdd,0,1,metal_plate,study,392x392,0.765625,0.8692540471851165,0.9686799030278175,14905408,1.8,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate\patch_scores.npz
controlled_A1_L,mpdd,0,1,metal_plate,study,392x392,0.765625,0.8716469946147388,0.9714381437063986,14905408,1.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate\patch_scores.npz
anomalydino_canvas,mpdd,0,1,metal_plate,study,392x392,0.765625,0.8583139665402951,0.9620195915280035,14905408,1.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_metal_plate.npz
anomalydino_canvas_rotation,mpdd,0,1,metal_plate,study,392x392,0.765625,0.8684457988395098,0.965642918565223,14905408,1.9,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_metal_plate.npz
PatchCore_native_local128,mpdd,0,1,metal_plate,study,392x392,0.765625,0.7653347920946586,0.934941251914776,14905408,1.9,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_metal_plate.npz
PatchCore_native_official224,mpdd,0,1,metal_plate,study,392x392,0.765625,0.8455190618084567,0.9666216190351121,14905408,1.9,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_metal_plate.npz
controlled_A1_J,mpdd,0,1,tubes,study,392x392,0.765625,0.7037516730541445,0.977767847250171,15520064,1.6,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\tubes\patch_scores.npz
